Time,System Production (W),Solar Production (W)
07/03/2017 00:00,"0","0"
07/03/2017 00:15,"0","0"
07/03/2017 00:30,"0","0"
07/03/2017 00:45,"0","0"
07/03/2017 01:00,"0","0"
07/03/2017 01:15,"0","0"
07/03/2017 01:30,"0","0"
07/03/2017 01:45,"0","0"
07/03/2017 02:00,"0","0"
07/03/2017 02:15,"0","0"
07/03/2017 02:30,"0","0"
07/03/2017 02:45,"0","0"
07/03/2017 03:00,"0","0"
07/03/2017 03:15,"0","0"
07/03/2017 03:30,"0","0"
07/03/2017 03:45,"0","0"
07/03/2017 04:00,"0","0"
07/03/2017 04:15,"0","0"
07/03/2017 04:30,"0","0"
07/03/2017 04:45,"0","0"
07/03/2017 05:00,"0","0"
07/03/2017 05:15,"0","0"
07/03/2017 05:30,"0","0"
07/03/2017 05:45,"0","0"
07/03/2017 06:00,"0","0"
07/03/2017 06:15,"23","23"
07/03/2017 06:30,"216","216"
07/03/2017 06:45,"270","270"
07/03/2017 07:00,"192","192"
07/03/2017 07:15,"372","372"
07/03/2017 07:30,"407","407"
07/03/2017 07:45,"829","829"
07/03/2017 08:00,"1571","1571"
07/03/2017 08:15,"1706","1706"
07/03/2017 08:30,"1883","1883"
07/03/2017 08:45,"1969","1969"
07/03/2017 09:00,"2631","2631"
07/03/2017 09:15,"2908","2908"
07/03/2017 09:30,"3524","3524"
07/03/2017 09:45,"2529","2529"
07/03/2017 10:00,"4204","4204"
07/03/2017 10:15,"4562","4562"
07/03/2017 10:30,"4776","4776"
07/03/2017 10:45,"6050","6050"
07/03/2017 11:00,"3942","3942"
07/03/2017 11:15,"5039","5039"
07/03/2017 11:30,"5585","5585"
07/03/2017 11:45,"5611","5611"
07/03/2017 12:00,"4595","4595"
07/03/2017 12:15,"2233","2233"
07/03/2017 12:30,"2043","2043"
07/03/2017 12:45,"3054","3054"
07/03/2017 13:00,"4047","4047"
07/03/2017 13:15,"6237","6237"
07/03/2017 13:30,"6184","6184"
07/03/2017 13:45,"3037","3037"
