Time,System Production (W),Solar Production (W)
06/12/2017 00:00,"0","0"
06/12/2017 00:15,"0","0"
06/12/2017 00:30,"0","0"
06/12/2017 00:45,"0","0"
06/12/2017 01:00,"0","0"
06/12/2017 01:15,"0","0"
06/12/2017 01:30,"0","0"
06/12/2017 01:45,"0","0"
06/12/2017 02:00,"0","0"
06/12/2017 02:15,"0","0"
06/12/2017 02:30,"0","0"
06/12/2017 02:45,"0","0"
06/12/2017 03:00,"0","0"
06/12/2017 03:15,"0","0"
06/12/2017 03:30,"0","0"
06/12/2017 03:45,"0","0"
06/12/2017 04:00,"0","0"
06/12/2017 04:15,"0","0"
06/12/2017 04:30,"0","0"
06/12/2017 04:45,"0","0"
06/12/2017 05:00,"0","0"
06/12/2017 05:15,"0","0"
06/12/2017 05:30,"0","0"
06/12/2017 05:45,"0","0"
06/12/2017 06:00,"0","0"
06/12/2017 06:15,"0","0"
06/12/2017 06:30,"0","0"
06/12/2017 06:45,"424","424"
06/12/2017 07:00,"694","694"
06/12/2017 07:15,"536","536"
06/12/2017 07:30,"981","981"
06/12/2017 07:45,"1259","1259"
06/12/2017 08:00,"1965","1965"
06/12/2017 08:15,"2205","2205"
06/12/2017 08:30,"2356","2356"
06/12/2017 08:45,"2749","2749"
06/12/2017 09:00,"2970","2970"
06/12/2017 09:15,"3398","3398"
06/12/2017 09:30,"3652","3652"
06/12/2017 09:45,"3299","3299"
06/12/2017 10:00,"2479","2479"
06/12/2017 10:15,"4601","4601"
06/12/2017 10:30,"4833","4833"
06/12/2017 10:45,"4875","4875"
06/12/2017 11:00,"5782","5782"
06/12/2017 11:15,"6470","6470"
06/12/2017 11:30,"6316","6316"
06/12/2017 11:45,"3057","3057"
06/12/2017 12:00,"1876","1876"
06/12/2017 12:15,"5677","5677"
06/12/2017 12:30,"4454","4454"
06/12/2017 12:45,"5885","5885"
06/12/2017 13:00,"5591","5591"
06/12/2017 13:15,"6166","6166"
06/12/2017 13:30,"1664","1664"
06/12/2017 13:45,"2485","2485"
06/12/2017 14:00,"2270","2270"
06/12/2017 14:15,"6253","6253"
06/12/2017 14:30,"5868","5868"
06/12/2017 14:45,"5668","5668"
06/12/2017 15:00,"1491","1491"
06/12/2017 15:15,"1669","1669"
06/12/2017 15:30,"5497","5497"
06/12/2017 15:45,"4813","4813"
06/12/2017 16:00,"1316","1316"
06/12/2017 16:15,"1058","1058"
06/12/2017 16:30,"3811","3811"
06/12/2017 16:45,"3600","3600"
06/12/2017 17:00,"3478","3478"
06/12/2017 17:15,"2990","2990"
